text,sentiment
"I love this product! It's amazing.",positive
"This is the worst service I have ever experienced.",negative
"I'm very satisfied with the quality.",positive
"Not worth the price. Totally disappointed.",negative
"The customer support was very helpful.",positive
"I will never buy from this store again.",negative
"Great value for money. Highly recommend it.",positive
"Terrible experience. The product broke within a week.",negative
"Absolutely fantastic! Exceeded my expectations.",positive
"Poor quality. I want a refund.",negative
